Sample#, X-Step size = 11.0000, Y-Step size = 11.0000 ; 
#1, -28, -138 ; 
#2, -4, -53 ; 
#3, 2, -45 ; 
#4, 7, -39 ; 
#5, 9, -33 ; 
#6, 10, -29 ; 
#7, 9, -26 ; 
#8, 7, -23 ; 
#9, 4, -22 ; 
#10, 1, -23 ; 
#11, -1, -24 ; 
#12, -4, -26 ; 
#13, -9, -28 ; 
#14, -13, -32 ; 
#15, -16, -34 ; 
#16, -17, -36 ; 
#17, -19, -39 ; 
#18, -20, -40 ; 
#19, -21, -40 ; 
#20, -24, -40 ; 
#21, -24, -40 ; 
#22, -23, -38 ; 
#23, -21, -37 ; 
#24, -19, -37 ; 
#25, -18, -37 ; 
#26, -16, -36 ; 
#27, -12, -36 ; 
#28, -8, -35 ; 
#29, -4, -36 ; 
#30, 0, -38 ; 
#31, 3, -39 ; 
#32, 6, -38 ; 
#33, 9, -38 ; 
#34, 12, -37 ; 
#35, 15, -39 ; 
#36, 16, -39 ; 
#37, 16, -40 ; 
#38, 16, -38 ; 
#39, 16, -38 ; 
#40, 14, -38 ; 
#41, 13, -39 ; 
#42, 11, -40 ; 
#43, 9, -41 ; 
#44, 5, -39 ; 
#45, 2, -39 ; 
#46, 0, -40 ; 
#47, -1, -41 ; 
#48, -2, -43 ; 
#49, -4, -44 ; 
#50, -6, -45 ; 
#51, -9, -45 ; 
#52, -9, -45 ; 
#53, -8, -46 ; 
#54, -7, -45 ; 
#55, -6, -44 ; 
#56, -5, -43 ; 
#57, -3, -39 ; 
#58, -2, -36 ; 
#59, 1, -33 ; 
#60, 3, -30 ; 
#61, 5, -28 ; 
#62, 6, -26 ; 
#63, 6, -26 ; 
#64, 5, -27 ; 
#65, 5, -26 ; 
#66, 3, -30 ; 
#67, 3, -33 ; 
#68, 3, -35 ; 
#69, 3, -38 ; 
#70, 3, -40 ; 
#71, 2, -41 ; 
#72, 2, -40 ; 
#73, 2, -39 ; 
#74, 3, -39 ; 
#75, 3, -35 ; 
#76, 3, -32 ; 
#77, 4, -30 ; 
#78, 3, -28 ; 
#79, 1, -27 ; 
#80, 1, -25 ; 
#81, 1, -25 ; 
#82, 1, -24 ; 
#83, 1, -25 ; 
#84, 0, -26 ; 
#85, 0, -27 ; 
#86, -2, -26 ; 
#87, -2, -25 ; 
#88, 0, -23 ; 
#89, 2, -23 ; 
#90, 1, -23 ; 
#91, 1, -22 ; 
#92, 0, -19 ; 
#93, -1, -18 ; 
#94, -2, -17 ; 
#95, -3, -19 ; 
#96, -5, -20 ; 
#97, -9, -21 ; 
#98, -12, -20 ; 
#99, -12, -21 ; 
#100, -12, -22 ; 
#101, -13, -25 ; 
#102, -13, -26 ; 
#103, -11, -26 ; 
#104, -8, -26 ; 
#105, -6, -27 ; 
#106, -3, -28 ; 
#107, -1, -29 ; 
#108, 1, -29 ; 
#109, 3, -28 ; 
#110, 6, -29 ; 
#111, 8, -30 ; 
#112, 6, -31 ; 
#113, 4, -32 ; 
#114, 5, -31 ; 
#115, 4, -31 ; 
#116, 3, -31 ; 
#117, 2, -33 ; 
#118, -1, -35 ; 
